Id;Tier;Lebenserwartung;Klasse;Hoehe_in_cm;Schnitt_Gewicht_in_KG;Anschaffungskosten_in_Euro;Kosten_Grundausstattung_in_Euro;Tierarztkosten;Futter;Futtermenge_in_KG_pro_Monat;Mindestanzahl_Tiere;Beschaeftigung
1;Hund;13;Saeugetier;61;34;1000;300;300;1;12;1;5
2;Katze;15;Saeugetier;25;4;200;300;250;2;9;1;2
3;Maus;1,5;Saeugetier;3;0,02;5;330;50;3;0,09;3;1
4;Meerschweinchen;6;Saeugetier;10;1;30;300;50;3;0,9;2;1
5;Ratte;2;Saeugetier;20;0,3;15;150;50;3;0,6;2;3
6;Hamster;2;Saeugetier;4;0,12;5;200;100;3;0,6;1;1
7;Kaninchen;8;Saeugetier;20;2;60;400;150;7;3;3;1
8;Hauspferd;30;Saeugetier;150;600;7000;2500;1000;5;20;1;5
9;Goldfisch;20;Fische;15;1;4;350;40;6;0,3;3;1
10;Wellensittich;8;Vogel;17;0,035;30;100;200;8;0,105;2;3
